sample_index,theta1,theta2,theta3,theta4,theta5,theta6,position_error_norm,rotation_error_norm,jacobian_error_norm
88,1.6870503263984307,-1.7915000742060079,2.75066019666437,1.2735194660008786,1.2023092550073142,0.4423903126005404,3.477763656540197e-16,1.073624269339959e-15,5.837982417318198e-16
89,-3.0334886011508075,-2.0564500876341723,2.1003532118690447,-2.084741913598566,0.5143112904172543,1.0559954723277472,2.423651445728339e-16,8.657782246947033e-16,5.14642392126968e-16
90,3.0326246166383544,-1.1544794871260342,3.3562789235268538,3.0399943188228895,0.43894725456320155,-0.1625087743813376,3.152427400121712e-16,1.0579936123048482e-15,6.020098146592685e-16
91,-0.6660491617800965,-2.391871862519919,3.021320691178978,-0.41057003059992336,1.454913495990244,-1.0968868622264258,4.710277376051325e-16,1.5882035285705553e-15,8.288293831085867e-16
92,-1.9782547561686177,-0.24153058239384118,0.17859635589711553,-1.6563158333490213,0.905383923975038,-0.030779716859018702,1.249000902703301e-16,1.3699703393889085e-15,3.1372667102590166e-16
93,0.5359600726917346,-1.317446062788267,0.3364613382275281,-1.589261784854576,2.615123992763878,0.43202851950236165,2.482534153247273e-16,1.1514383065176238e-15,5.974529691393352e-16
94,0.9247241108325013,-0.8574715360864771,3.0516120761581162,-2.7397274133270266,1.1364859932910985,0.12411614672167115,3.6506759942727966e-16,1.3529241734648802e-15,6.952633405871132e-16
95,-1.0015698035565785,-0.40435492945331486,1.9302900343491758,1.6654910546481507,2.641248102331624,0.015045256316983835,2.7476618026966064e-16,1.1389935954777104e-15,5.097903396513402e-16
96,2.53922391200237,-1.0734777546038505,3.401097195334887,-0.9883370673325493,1.5463325714476042,0.09863066875437387,3.6506759942727966e-16,1.4368705231798434e-15,6.169009371661352e-16
97,-2.4491257614443622,-1.5637634825759945,3.6693506902067043,0.8111598902614028,0.5502704055545993,-0.5059933041858404,2.7336071744532853e-16,1.2303580520679203e-15,4.2236509131840646e-16
98,-1.9120613400912612,-2.5354598573237115,3.709841834016107,-0.321114564807397,0.953358724504437,0.309218381491293,2.7755575615628914e-16,1.2432050435751766e-15,5.029770815086449e-16
99,-3.0546503709833033,-1.8771425228378842,2.8121338627955703,0.8293725930294302,3.04359843738186,0.37792320832625825,4.122076774437418e-16,1.2199830576784482e-15,7.177584777116682e-16
100,-0.13946358350805665,-0.6202753357215802,3.6133114878562123,1.3683148696537795,2.985954793003077,0.8854962361178764,3.608224830031759e-16,1.3409131948339996e-15,7.933155230796014e-16
101,2.274168917223944,-2.303329414922543,2.929654011975151,-0.3714500629303146,1.7146217874749532,0.48388156577460006,2.9893669801409083e-16,1.30066785273941e-15,5.248420139065874e-16
102,2.9128537235745307,-0.04009698827777619,1.152912981951621,1.4492716841150801,2.3249489675993327,-0.4820124154770269,2.118352371637509e-16,9.550499576785472e-16,3.57100317057742e-16
103,-2.33200739584183,-2.4935379032571285,3.1093725101167142,-0.06386160073518354,3.0551745254342713,-0.1099833475519294,2.2887833992611187e-16,1.2779626727101132e-15,5.645612178798107e-16
104,2.96308527025781,-1.5299023942954444,3.1747286022398904,-2.5741205116666412,1.721931301427068,0.9484677311351739,2.986345483819336e-16,1.3100550834572093e-15,4.685599560955524e-16
105,2.63315033676331,-0.4612839643946778,0.1478829088046969,-0.7892454838982479,0.15096526417293896,-1.226853605900288,8.326672684688674e-17,1.3788683915077173e-15,2.45751301930661e-16
106,1.0868948977384014,-0.7455286895895847,3.0948827310065052,2.26583059794511,2.2922375522771805,0.9447367992148246,3.002224531865041e-16,1.3112857256711536e-15,5.762416129859629e-16
107,-2.796424999095669,-1.9902086088526239,2.487591093500983,2.2203768886739037,0.01395038731294328,0.04593613424533838,3.433175098891678e-16,1.39663232372568e-15,5.82673448231984e-16
